Zou je dit spel aanraden aan je vrienden? a. nee b. ja,a,[Waarom is dat zo?],bad
Hoeveel uur heb je in dit spel? a. meer dan 100 b. minder dan 100,a,[Waarom is dat zo?],bad
Wat is je naam?,mike
Wat is je leeftijd?,69
Wat is je afkomst?,afrika
Zou je dit spel aanraden aan je vrienden? a. nee b. ja,a,[Waarom is dat zo?],ggf
Hoeveel uur heb je in dit spel? a. meer dan 100 b. minder dan 100,b,Geen vervolg vraag
Wat is je naam?,alex
Wat is je leeftijd?,29
Wat is je afkomst?,fdfgjkdgf
Zou je dit spel aanraden aan je vrienden? a. nee b. ja,a,[Waarom is dat zo?],sdfhj
Hoeveel uur heb je in dit spel? a. meer dan 100 b. minder dan 100,b,Geen vervolg vraag
Wat is je naam?,alex
Wat is je leeftijd?,23
Wat is je afkomst?,hasdjasd
Zou je dit spel aanraden aan je vrienden? a. nee b. ja,a,[Waarom is dat zo?],kjhsdfhskjdfsd
Hoeveel uur heb je in dit spel? a. meer dan 100 b. minder dan 100,b,Geen vervolg vraag
Wat is je naam?,sdjkfk
Wat is je leeftijd?,123
Wat is je afkomst?,lksdfg
